path,label,sr,snr,fp,group
data/cleaned/aero16k_noisy/000000_2022-12-08_09-05-46_0_0_SNRclean.wav,healthy,16000,clean,1d59231e786b98099dd9d8e7809c7da4,000000_2022-12-08_09-05-46_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-05-46_0_0_SNR30.wav,healthy,16000,30,679c685bfcabaab70d37d8563cd79d7f,000000_2022-12-08_09-05-46_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-05-46_0_0_SNR20.wav,healthy,16000,20,f49d55bfef06318ffcdc4ce400248532,000000_2022-12-08_09-05-46_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-05-46_0_0_SNR10.wav,healthy,16000,10,95bfa7bd147e8782134922c8be6b6c03,000000_2022-12-08_09-05-46_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-05-46_0_0_FAULT_SNRclean.wav,faulty,16000,clean,79e4529a25bb2166acc6e0a2d751f39a,000000_2022-12-08_09-05-46_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-05-46_0_0_FAULT_SNR30.wav,faulty,16000,30,885b2cfdf35b3017241c46d7d873af7d,000000_2022-12-08_09-05-46_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-05-46_0_0_FAULT_SNR20.wav,faulty,16000,20,1a959f0c0b2f5efb69b20c45fbe2ac64,000000_2022-12-08_09-05-46_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-05-46_0_0_FAULT_SNR10.wav,faulty,16000,10,1b597f53365e9a82f1a0eba0053e81b5,000000_2022-12-08_09-05-46_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-06-16_0_0_SNRclean.wav,healthy,16000,clean,ff244755962fa04c658c85da0de47203,000000_2022-12-08_09-06-16_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-06-16_0_0_SNR20.wav,healthy,16000,20,d0a062c0cfaec3fdee30d91f2d4b3405,000000_2022-12-08_09-06-16_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-06-16_0_0_SNR10.wav,healthy,16000,10,43e006c593b8a1a011514617809aa3e3,000000_2022-12-08_09-06-16_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-06-16_0_0_FAULT_SNRclean.wav,faulty,16000,clean,df3be5affdadc7cf89fa9fbf0c3f4fff,000000_2022-12-08_09-06-16_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-06-16_0_0_FAULT_SNR30.wav,faulty,16000,30,d47071c915dbd71bd0828aea62186354,000000_2022-12-08_09-06-16_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-06-16_0_0_FAULT_SNR20.wav,faulty,16000,20,992e8a25cdbda1eb5a5e52fa696cf2c8,000000_2022-12-08_09-06-16_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-06-16_0_0_FAULT_SNR10.wav,faulty,16000,10,585409b5b68a1cd8b3ff1fa8ece756d8,000000_2022-12-08_09-06-16_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-06-46_0_0_SNRclean.wav,healthy,16000,clean,c6bb37d739b91b3acde1c4e88a5100c6,000000_2022-12-08_09-06-46_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-06-46_0_0_SNR30.wav,healthy,16000,30,8235b2a3d4c9430b836110c498b85e4a,000000_2022-12-08_09-06-46_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-06-46_0_0_SNR20.wav,healthy,16000,20,de1d74e29b0bc8b4fd9121573feefda0,000000_2022-12-08_09-06-46_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-06-46_0_0_SNR10.wav,healthy,16000,10,7a4321199524fb867c1b124a0aae84bb,000000_2022-12-08_09-06-46_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-06-46_0_0_FAULT_SNRclean.wav,faulty,16000,clean,c6ce09fe20961136a3ed9c4cbb20dc66,000000_2022-12-08_09-06-46_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-06-46_0_0_FAULT_SNR30.wav,faulty,16000,30,cf9275a1a2473e756475a25507692414,000000_2022-12-08_09-06-46_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-06-46_0_0_FAULT_SNR20.wav,faulty,16000,20,9417264052852b5bd4e8f2193f005b51,000000_2022-12-08_09-06-46_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-06-46_0_0_FAULT_SNR10.wav,faulty,16000,10,b1160cdf3968a61ee638e0c78efce9e6,000000_2022-12-08_09-06-46_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-07-16_0_0_SNRclean.wav,healthy,16000,clean,576f9bf1b08e88bae8dbfdadd8727988,000000_2022-12-08_09-07-16_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-07-16_0_0_SNR30.wav,healthy,16000,30,1894b779160041efde166f4d9475239f,000000_2022-12-08_09-07-16_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-07-16_0_0_SNR20.wav,healthy,16000,20,6db93d28b628f7ef11ceb92ae74152db,000000_2022-12-08_09-07-16_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-07-16_0_0_SNR10.wav,healthy,16000,10,5c9caef9aeab116619fffdcce6e07953,000000_2022-12-08_09-07-16_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-07-16_0_0_FAULT_SNRclean.wav,faulty,16000,clean,bb34470f9884b47f8ba73308c3cac03e,000000_2022-12-08_09-07-16_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-07-16_0_0_FAULT_SNR30.wav,faulty,16000,30,3faadf0332f2a7e8acce8b73ed205919,000000_2022-12-08_09-07-16_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-07-16_0_0_FAULT_SNR20.wav,faulty,16000,20,8889fa7039db7ca112361976e3d65d23,000000_2022-12-08_09-07-16_0_0
data/cleaned/aero16k_noisy/000000_2022-12-08_09-07-16_0_0_FAULT_SNR10.wav,faulty,16000,10,6fd86f417eab9ede2fea149c8b215c35,000000_2022-12-08_09-07-16_0_0
